"x","y","WeeklySST_C_1","WeeklySST_C_2","WeeklySST_C_3","WeeklySST_C_4","WeeklySST_C_5","WeeklySST_C_6","WeeklySST_C_7","WeeklySST_C_8","WeeklySST_C_9","WeeklySST_C_10"
-82.9695839352078,26.9729189342923,19.85,16.48,16.28,17.62,17.39,18.05,15.96,15.24,14.97,14.68
-82.9279221428765,26.9729189342923,19.71,16.4,16.54,17.67,17.41,17.95,15.58,15.09,14.74,14.55
-82.8862603505452,26.9729189342923,18.65,16,15.78,17.54,17.12,17.11,15.41,14.79,14.66,14.55
-82.844598558214,26.9729189342923,18.65,16,15.78,17.54,17.12,17.11,15.41,14.79,14.66,14.55
-82.8029367658827,26.9729189342923,18.12,15.86,15.87,17.27,17.12,16.95,15.3,14.66,14.49,14.23
-82.7612749735514,26.9729189342923,17.67,15.71,16.1,17.08,16.92,16.83,15.33,14.7,14.33,14.13
-82.7196131812202,26.9729189342923,NA,15.8,15.2,16.68,16.83,16.76,15.15,14.76,14.32,14
-82.6779513888889,26.9729189342923,15.65,15.86,14.94,16.45,16.77,16.71,14.89,14.48,14.27,13.96
-82.6362895965576,26.9729189342923,15.32,NA,14.45,16.37,16.74,16.29,14.56,14.57,14.17,13.73
-82.5946278042263,26.9729189342923,14.83,NA,14.36,16.29,16.79,16.24,14.38,14.37,14.14,13.89
-82.5529660118951,26.9729189342923,14.45,NA,14.14,16.25,NA,16.13,14.2,14.23,14.12,13.9
-82.5113042195638,26.9729189342923,14.82,NA,14.07,16.31,NA,16.23,14.02,14.68,14.12,13.94
-82.4696424272325,26.9729189342923,14.82,NA,14.07,16.31,NA,16.23,14.02,14.68,14.12,13.94
-82.4279806349013,26.9729189342923,NA,NA,NA,16.2,NA,15.86,14.49,14.45,14.06,14.45
-80.9698179033067,26.9729189342923,NA,NA,NA,19.99,NA,NA,NA,NA,NA,NA
-80.9281561109755,26.9729189342923,NA,NA,NA,19.99,NA,NA,NA,NA,NA,NA
-80.0532584720188,26.9729189342923,NA,NA,NA,NA,NA,NA,NA,21.51,NA,NA
-80.0115966796875,26.9729189342923,NA,NA,23.26,23.24,NA,NA,22.23,21.4,NA,NA
-82.9695839352078,26.9312619103326,19.3,16.57,16.64,17.79,NA,17.96,16.17,15.41,15.04,15.25
-82.9279221428765,26.9312619103326,18.81,16.41,NA,17.8,16.82,17.74,15.82,14.82,14.85,14.7
-82.8862603505452,26.9312619103326,18.74,15.77,NA,17.64,16.82,17.67,15.66,14.95,14.67,14.38
-82.844598558214,26.9312619103326,18.01,15.76,16.11,17.37,17.11,16.89,15.49,14.76,14.46,14.37
-82.8029367658827,26.9312619103326,17.84,15.74,16.21,17.13,16.99,16.77,15.32,14.94,14.49,14.37
-82.7612749735514,26.9312619103326,16.2,15.43,15.61,16.96,17.01,16.52,15.21,14.74,14.35,14.24
-82.7196131812202,26.9312619103326,16.2,15.43,15.61,16.96,17.01,16.52,15.21,14.74,14.35,14.24
-82.6779513888889,26.9312619103326,15.77,15.54,15.18,16.76,16.58,16.29,14.97,14.52,14.25,13.96
-82.6362895965576,26.9312619103326,15.24,15.54,14.33,16.42,16.58,15.89,14.73,14.5,14.18,13.96
-82.5946278042263,26.9312619103326,NA,15.62,13.9,16.23,16.6,16.24,14.47,14.55,14.14,13.87
-82.5529660118951,26.9312619103326,NA,NA,14.37,16.27,16.73,16.02,14.27,14.37,14.19,13.8
-82.5113042195638,26.9312619103326,14.58,NA,14.39,16.43,16.73,16.12,14.18,15.06,14.17,13.93
-82.4696424272325,26.9312619103326,NA,NA,14.33,16.36,NA,NA,14.41,14.55,14.1,13.81
-82.4279806349013,26.9312619103326,NA,NA,NA,NA,NA,NA,NA,14.33,13.91,14.3
-82.0946862962511,26.9312619103326,NA,NA,NA,NA,NA,18.2,NA,NA,NA,NA
-80.0532584720188,26.9312619103326,NA,NA,NA,NA,NA,NA,NA,21.62,NA,NA
-80.0115966796875,26.9312619103326,NA,NA,23.58,NA,NA,24.45,22.16,21.46,NA,NA
-82.9695839352078,26.8896048863729,19.17,16.76,NA,18.09,NA,17.98,16.83,15.61,15.2,16.04
-82.9279221428765,26.8896048863729,19.12,16.64,NA,18.02,NA,17.82,16.37,15.11,15.02,15.35
-82.8862603505452,26.8896048863729,18.81,16.45,NA,17.74,NA,17.42,15.67,14.95,14.89,15.01
-82.844598558214,26.8896048863729,18.7,16.22,16.61,17.55,17.11,17.54,15.85,14.86,14.58,14.53
-82.8029367658827,26.8896048863729,18.06,15.93,16.65,17.46,17.11,17.02,15.45,14.85,14.51,14.29
-82.7612749735514,26.8896048863729,17.69,15.6,16.08,17.34,17.01,16.68,15.3,14.77,14.48,14.33
